Y_est,Y_est_moe,Y_uni,Y_uni_moe,NAME,state,county,tract,S0101_C01_001E_x,OA_est,OA_est_moe,S0101_C01_001M_x,S0101_C01_001E_y,F_est,F_est_moe,S0101_C01_001M_y,RM_uni_moe,RM_est_moe,RM_uni,RM_est,EM_est,EM_uni_moe,EM_uni,EM_est_moe,FB_est_moe,FB_uni,FB_uni_moe,FB_est,LEP_uni_moe,LEP_est_moe,LEP_est,LEP_uni,D_est_moe,D_est,D_uni_moe,D_uni,LI_est_moe,LI_est,LI_uni_moe,LI_uni,NC_uni,NC_uni_moe,NC_est,NC_est_moe,GEOID,OA_uni,F_uni,OA_uni_moe,F_uni_moe,RM_est_moe_approx,Y_pct,Y_pct_moe,OA_pct,OA_pct_moe,F_pct,F_pct_moe,RM_pct,RM_pct_moe,EM_pct,EM_pct_moe,FB_pct,FB_pct_moe,LEP_pct,LEP_pct_moe,D_pct,D_pct_moe,LI_pct,LI_pct_moe,NC_pct,NC_pct_moe,IPD_SCORE,Y_score,Y_class,OA_score,OA_class,F_score,F_class,RM_score,RM_class,EM_score,EM_class,FB_score,FB_class,LEP_score,LEP_class,D_score,D_class,LI_score,LI_class,NC_score,NC_class,IPD_SCORE_score,IPD_SCORE_class,indicators_mean,indicators_std,IPD_CONFIDENCE
115,43,1181,205,Census Tract 1.01; District of Columbia; District of Columbia,11,001,000101,1181,373,115,205,1181,678,166,205,205,194,1181,293,90,205,1181,89,77,1181,205,161,187,40,33,1083,28,30,205,1181,48,73,205,1181,803,128,311,115,11001000101,1181,1181,205,205,282.24280327406046,9.7,3.2,31.6,8.0,57.4,9.9,24.8,15.9,7.6,7.4,13.6,6.1,3.0,3.7,2.5,2.3,6.2,3.9,38.7,12.9,19,1,Below Average,4,Well Above Average,3,Above Average,1,Below Average,2,Average,2,Average,2,Average,1,Below Average,1,Below Average,2,Average,2,Average,1.9,0.9944289260117531,Medium
205,71,2751,480,Census Tract 48.01; District of Columbia; District of Columbia,11,001,004801,2751,347,192,480,2751,1277,280,480,480,198,2751,1321,538,480,2751,370,149,2751,480,346,442,110,146,2596,85,140,469,2712,232,523,480,2745,1479,265,546,137,11001004801,2751,2751,480,480,519.2340512716785,7.5,2.2,12.6,6.6,46.4,6.2,48.0,11.0,19.6,13.0,12.6,5.0,5.6,4.1,5.2,3.0,19.1,7.8,36.9,6.5,18,1,Below Average,2,Average,1,Below Average,2,Average,3,Above Average,2,Average,2,Average,1,Below Average,2,Average,2,Average,2,Average,1.8,0.6324555320336759,High
313,344,2974,692,Census Tract 48.02; District of Columbia; District of Columbia,11,001,004802,2974,233,54,692,2974,1416,340,692,692,170,2974,1859,441,692,2974,449,131,2974,692,384,687,112,153,2920,122,234,693,2962,182,377,692,2974,1662,158,566,147,11001004802,2974,2974,692,692,712.5756100232452,10.5,11.3,7.8,2.6,47.6,2.8,62.5,15.6,14.8,14.7,12.9,3.2,5.2,3.6,7.9,3.7,12.7,5.4,34.1,8.2,16,1,Below Average,1,Below Average,1,Below Average,2,Average,2,Average,2,Average,2,Average,2,Average,1,Below Average,2,Average,1,Below Average,1.6,0.5163977794943223,High
417,238,3381,442,Census Tract 49.01; District of Columbia; District of Columbia,11,001,004901,3381,394,187,442,3381,1564,320,442,442,269,3381,1608,504,442,3381,386,299,3381,442,548,467,179,231,3265,255,386,440,3359,455,1064,442,3381,1909,271,571,145,11001004901,3381,3381,442,442,517.4214916294065,12.3,6.9,11.7,5.3,46.3,7.3,47.6,5.0,14.9,11.2,16.2,8.6,7.1,5.4,11.5,7.4,31.5,12.8,29.9,6.3,18,1,Below Average,2,Average,1,Below Average,2,Average,2,Average,2,Average,2,Average,2,Average,2,Average,2,Average,2,Average,1.8,0.42163702135578396,High
338,56,3367,401,Census Tract 49.02; District of Columbia; District of Columbia,11,001,004902,3367,185,67,401,3367,1630,297,401,401,267,3367,1419,401,401,3367,234,172,3367,401,593,399,48,65,3353,57,97,403,3352,119,595,401,3367,2182,291,1069,254,11001004902,3367,3367,401,401,481.75720025755714,10.0,1.2,5.5,1.9,48.4,6.7,42.1,6.1,11.9,6.8,17.6,4.7,1.9,1.4,2.9,1.7,17.7,2.8,49.0,9.6,17,1,Below Average,1,Below Average,2,Average,1,Below Average,2,Average,3,Above Average,1,Below Average,1,Below Average,2,Average,3,Above Average,1,Below Average,1.7,0.8232726023485646,High
241,159,2064,497,Census Tract 50.01; District of Columbia; District of Columbia,11,001,005001,2064,123,66,497,2064,882,197,497,497,335,2064,696,135,497,2064,81,249,2064,497,415,486,86,93,2006,52,86,497,2064,63,101,497,2064,1104,296,634,289,11001005001,2064,2064,497,497,599.3613267470633,11.7,7.2,6.0,2.9,42.7,14.0,33.7,14.1,6.5,3.6,20.1,11.0,4.6,4.1,4.2,2.3,4.9,2.8,57.4,21.2,15,1,Below Average,1,Below Average,1,Below Average,1,Below Average,1,Below Average,3,Above Average,2,Average,1,Below Average,1,Below Average,3,Above Average,1,Below Average,1.5,0.8498365855987975,Medium
15,23,1766,313,Census Tract 50.03; District of Columbia; District of Columbia,11,001,005003,1766,22,20,313,1766,832,213,313,313,260,1766,646,261,313,1766,98,148,1766,313,416,313,32,150,1766,76,157,313,1766,77,327,313,1766,1117,129,679,123,11001005003,1766,1766,313,313,406.90170803278767,0.8,1.3,1.2,1.1,47.1,8.7,36.6,13.2,14.8,4.9,23.6,7.3,8.5,1.0,8.9,4.0,18.5,2.9,60.8,8.5,18,0,Well Below Average,0,Well Below Average,1,Below Average,1,Below Average,2,Average,3,Above Average,3,Above Average,2,Average,2,Average,4,Well Above Average,2,Average,1.8,1.3165611772087666,Medium
423,122,3703,409,Census Tract 50.04; District of Columbia; District of Columbia,11,001,005004,3703,408,162,409,3703,1779,275,409,409,483,3703,1801,887,409,3703,318,283,3703,409,958,405,233,559,3457,183,409,418,3661,449,1545,409,3703,2265,226,1388,247,11001005004,3703,3703,409,409,632.9059961795274,11.4,3.0,11.0,4.2,48.0,5.2,48.6,11.9,24.0,8.2,25.9,7.1,16.2,6.5,11.2,4.8,41.7,11.2,61.3,9.0,26,1,Below Average,2,Average,1,Below Average,2,Average,4,Well Above Average,3,Above Average,4,Well Above Average,2,Average,3,Above Average,4,Well Above Average,4,Well Above Average,2.6,1.1737877907772674,High
13,21,2973,499,Census Tract 52.02; District of Columbia; District of Columbia,11,001,005202,2973,511,253,499,2973,1212,243,499,499,483,2973,494,197,499,2973,111,159,2973,499,317,499,21,13,2973,217,287,499,2973,171,291,495,2960,2080,315,1129,288,11001005202,2973,2973,499,499,694.4710217136493,0.4,0.7,17.2,8.0,40.8,4.5,16.6,16.0,6.6,3.6,10.7,5.0,0.4,0.7,9.7,7.1,9.8,5.5,54.3,11.1,15,0,Well Below Average,3,Above Average,1,Below Average,1,Below Average,1,Below Average,2,Average,1,Below Average,2,Average,1,Below Average,3,Above Average,1,Below Average,1.5,0.97182531580755,Medium
54,81,3114,502,Census Tract 52.03; District of Columbia; District of Columbia,11,001,005203,3114,317,263,502,3114,1672,377,502,502,463,3114,1393,632,502,3114,290,330,3114,502,821,500,274,475,3060,247,305,502,3114,251,403,502,3114,2346,360,1561,337,11001005203,3114,3114,502,502,682.9150752472814,1.7,2.6,10.2,8.3,53.7,8.5,44.7,13.0,20.3,8.7,26.4,9.7,15.5,8.6,9.8,7.8,12.9,7.8,66.5,10.1,22,0,Well Below Average,2,Average,2,Average,1,Below Average,3,Above Average,3,Above Average,4,Well Above Average,2,Average,1,Below Average,4,Well Above Average,3,Above Average,2.2,1.3165611772087666,Medium
269,96,2547,338,Census Tract 53.02; District of Columbia; District of Columbia,11,001,005302,2547,212,137,338,2547,1077,207,338,338,324,2547,595,373,338,2547,182,132,2547,338,420,334,39,38,2329,64,74,340,2531,125,193,338,2547,1606,231,860,223,11001005302,2547,2547,338,338,468.20935488304804,10.6,3.5,8.3,5.3,42.3,5.9,23.4,12.3,14.6,6.9,16.5,4.7,1.6,1.7,2.9,2.5,7.6,4.8,53.5,11.6,14,1,Below Average,1,Below Average,1,Below Average,1,Below Average,2,Average,2,Average,1,Below Average,1,Below Average,1,Below Average,3,Above Average,1,Below Average,1.4,0.6992058987801011,High
64,6,2503,366,Census Tract 53.03; District of Columbia; District of Columbia,11,001,005303,2503,391,169,366,2503,1298,283,366,366,321,2503,779,230,366,2503,141,162,2503,366,478,365,58,78,2485,104,188,366,2490,155,345,366,2490,1985,309,1328,265,11001005303,2503,2503,366,366,486.8233765956602,2.6,0.4,15.6,6.4,51.9,8.4,31.1,12.0,9.2,5.5,19.1,5.8,3.1,2.3,7.6,4.0,13.9,5.9,66.9,8.4,19,1,Below Average,2,Average,2,Average,1,Below Average,2,Average,3,Above Average,2,Average,1,Below Average,1,Below Average,4,Well Above Average,2,Average,1.9,0.9944289260117531,Medium
61,69,1759,378,Census Tract 55.01; District of Columbia; District of Columbia,11,001,005501,1759,162,87,378,1759,790,207,378,378,360,1759,359,388,378,1759,202,225,1759,378,492,369,93,115,1740,161,245,378,1748,109,228,378,1757,1271,235,706,203,11001005501,1759,1759,378,378,522.0,3.5,3.9,9.2,4.5,44.9,6.7,20.4,20.0,22.1,10.5,28.0,11.3,6.6,5.2,14.0,8.7,13.0,5.5,55.5,12.2,20,1,Below Average,2,Average,1,Below Average,1,Below Average,3,Above Average,4,Well Above Average,2,Average,2,Average,1,Below Average,3,Above Average,2,Average,2.0,1.0540925533894598,Medium
119,139,2487,424,Census Tract 55.02; District of Columbia; District of Columbia,11,001,005502,2487,443,126,424,2487,1137,204,424,424,428,2487,708,104,424,2487,83,154,2487,424,377,338,89,167,2397,145,318,421,2323,158,414,423,2301,1561,199,893,172,11001005502,2487,2487,424,424,602.4616170346457,4.8,5.5,17.8,4.1,45.7,2.6,28.5,16.5,4.2,3.3,15.2,5.6,7.0,3.6,13.7,5.7,18.0,6.0,57.2,8.3,18,1,Below Average,3,Above Average,1,Below Average,1,Below Average,1,Below Average,2,Average,2,Average,2,Average,2,Average,3,Above Average,2,Average,1.8,0.7888106377466155,High
0,14,1693,353,Census Tract 55.03; District of Columbia; District of Columbia,11,001,005503,1693,261,107,353,1693,924,255,353,353,353,1693,392,173,353,1693,113,132,1693,353,360,353,64,62,1693,105,156,353,1693,240,565,353,1693,1190,238,672,214,11001005503,1693,1693,353,353,499.21738751770255,0.0,0.8,15.4,5.4,54.6,9.9,23.2,20.3,10.2,6.3,21.3,6.4,3.7,3.7,9.2,5.9,33.4,12.4,56.5,14.0,19,0,Well Below Average,2,Average,2,Average,1,Below Average,2,Average,3,Above Average,2,Average,2,Average,2,Average,3,Above Average,2,Average,1.9,0.8755950357709131,High
31,16,2508,397,Census Tract 56.01; District of Columbia; District of Columbia,11,001,005601,2508,287,116,397,2508,1466,367,397,397,315,2508,867,302,397,2508,283,342,2508,397,705,396,97,77,2477,101,152,389,2441,166,738,397,2499,1992,364,1283,305,11001005601,2508,2508,397,397,506.7879240865946,1.2,0.6,11.4,4.3,58.5,11.3,34.6,11.3,12.0,11.1,28.1,12.9,3.1,3.9,6.2,4.0,29.5,4.7,64.4,9.8,21,0,Well Below Average,2,Average,3,Above Average,1,Below Average,2,Average,4,Well Above Average,2,Average,1,Below Average,2,Average,4,Well Above Average,2,Average,2.1,1.286683937707919,Medium
241,159,4034,411,Census Tract 56.02; District of Columbia; District of Columbia,11,001,005602,4034,956,176,411,4034,2294,335,411,411,335,4034,1445,615,411,4034,234,412,4034,411,1489,349,231,441,3870,162,490,411,4034,191,545,414,3018,1976,209,879,217,11001005602,4034,4034,411,411,530.2320246835342,6.0,3.9,23.7,3.6,56.9,5.9,35.8,7.5,15.2,5.6,36.9,9.5,11.4,5.9,12.1,3.8,18.1,5.8,44.5,9.9,24,1,Below Average,3,Above Average,3,Above Average,1,Below Average,2,Average,4,Well Above Average,3,Above Average,2,Average,2,Average,3,Above Average,3,Above Average,2.4,0.9660917830792959,High
72,27,1780,274,Census Tract 58.01; District of Columbia; District of Columbia,11,001,005801,1780,349,98,274,1780,983,348,274,274,272,1780,487,148,274,1780,60,96,1780,274,288,271,68,140,1708,67,252,274,1780,97,408,274,1767,1104,245,640,178,11001005801,1780,1780,274,274,386.0828926538963,4.0,1.4,19.6,4.6,55.2,17.6,27.4,14.7,8.3,3.1,16.2,4.8,8.2,3.8,14.2,3.1,23.1,4.2,58.0,9.7,22,1,Below Average,3,Above Average,2,Average,1,Below Average,2,Average,2,Average,3,Above Average,3,Above Average,2,Average,3,Above Average,3,Above Average,2.2,0.7888106377466155,High
13,21,1936,285,Census Tract 58.02; District of Columbia; District of Columbia,11,001,005802,1936,219,103,285,1936,757,149,285,285,225,1936,758,374,285,1936,189,215,1936,285,431,281,46,54,1923,117,205,295,1879,162,370,285,1936,1367,191,725,193,11001005802,1936,1936,285,285,363.1115531073061,0.7,1.1,11.3,5.1,39.1,5.1,39.2,10.1,19.3,9.3,22.3,10.6,2.8,2.4,10.9,6.0,19.1,7.9,53.0,12.0,18,0,Well Below Average,2,Average,0,Well Below Average,1,Below Average,3,Above Average,3,Above Average,2,Average,2,Average,2,Average,3,Above Average,2,Average,1.8,1.1352924243950933,Medium
23,30,2403,366,Census Tract 59; District of Columbia; District of Columbia,11,001,005900,2403,159,96,366,2403,986,165,366,366,368,2403,789,223,366,2403,164,130,2403,366,334,361,28,39,2389,87,196,366,2403,135,426,367,2246,1483,264,866,221,11001005900,2403,2403,366,366,519.0183041088243,1.0,1.2,6.6,3.9,41.0,2.8,32.8,14.5,9.3,6.7,13.9,5.0,1.6,1.1,8.2,3.4,19.0,5.2,58.4,10.7,15,0,Well Below Average,1,Below Average,1,Below Average,1,Below Average,2,Average,2,Average,1,Below Average,2,Average,2,Average,3,Above Average,1,Below Average,1.5,0.8498365855987975,Medium
516,321,2978,561,Census Tract 64; District of Columbia; District of Columbia,11,001,006400,2978,364,136,561,2978,1413,369,561,561,183,2978,2357,51,561,2978,47,73,2978,561,94,393,63,71,2755,186,479,563,2953,450,1436,481,2904,1674,182,827,176,11001006400,2978,2978,561,561,590.0932129757128,17.3,10.3,12.2,3.9,47.4,8.6,79.1,16.1,1.7,1.5,3.2,2.4,2.6,2.3,16.2,5.5,49.4,13.2,49.4,9.0,21,2,Average,2,Average,1,Below Average,3,Above Average,1,Below Average,1,Below Average,2,Average,3,Above Average,3,Above Average,3,Above Average,2,Average,2.1,0.875595035770913,High
440,176,2549,451,Census Tract 65; District of Columbia; District of Columbia,11,001,006500,2549,433,164,451,2549,1561,427,451,451,412,2549,695,307,451,2549,303,136,2549,451,337,435,91,74,2357,55,117,451,2549,290,500,452,2512,1365,344,356,118,11001006500,2549,2549,451,451,610.8559568343425,17.3,6.2,17.0,5.7,61.2,12.8,27.3,15.4,12.0,11.7,13.2,4.8,3.1,3.8,4.6,2.0,19.9,11.0,26.1,5.6,20,2,Average,3,Above Average,3,Above Average,1,Below Average,2,Average,2,Average,2,Average,1,Below Average,2,Average,2,Average,2,Average,2.0,0.6666666666666666,High
346,101,2150,514,Census Tract 66; District of Columbia; District of Columbia,11,001,006600,2150,337,79,514,2150,1066,266,514,514,523,2150,437,113,514,2150,85,77,2150,514,182,484,58,36,1982,63,137,517,2125,280,370,515,2138,1091,232,290,99,11001006600,2150,2150,514,514,733.2973476019124,16.1,2.7,15.7,5.2,49.6,3.5,20.3,23.8,5.3,3.7,8.5,3.0,1.8,2.9,6.4,2.5,17.3,12.4,26.6,7.1,15,2,Average,2,Average,2,Average,1,Below Average,1,Below Average,1,Below Average,1,Below Average,1,Below Average,2,Average,2,Average,1,Below Average,1.5,0.5270462766947299,High
568,127,3930,375,Census Tract 67; District of Columbia; District of Columbia,11,001,006700,3930,914,209,375,3930,2031,256,375,375,346,3930,607,196,375,3930,119,80,3930,375,162,343,36,39,3622,117,269,373,3860,59,97,375,3921,2087,250,377,176,11001006700,3930,3930,375,375,510.23621980412173,14.5,2.9,23.3,4.8,51.7,4.3,15.4,8.7,5.0,3.0,4.1,2.0,1.1,1.0,7.0,3.0,2.5,1.5,18.1,8.2,13,2,Average,3,Above Average,2,Average,0,Well Below Average,1,Below Average,1,Below Average,1,Below Average,1,Below Average,1,Below Average,1,Below Average,0,Well Below Average,1.3,0.8232726023485645,Medium
379,178,2271,383,Census Tract 68.01; District of Columbia; District of Columbia,11,001,006801,2271,121,38,383,2271,1011,197,383,383,219,2271,1005,192,383,2271,176,119,2271,383,241,302,53,28,2047,80,151,388,2212,177,422,383,2271,1026,151,248,127,11001006801,2271,2271,383,383,441.1915683691156,16.7,7.3,5.3,1.4,44.5,4.3,44.3,6.1,8.5,7.6,10.6,4.9,1.4,2.6,6.8,3.4,18.6,7.1,24.2,11.9,14,2,Average,1,Below Average,1,Below Average,1,Below Average,2,Average,2,Average,1,Below Average,1,Below Average,2,Average,1,Below Average,1,Below Average,1.4,0.5163977794943223,High
326,89,2264,597,Census Tract 68.02; District of Columbia; District of Columbia,11,001,006802,2264,240,87,597,2264,1235,373,597,597,167,2264,924,107,597,2264,89,44,2264,597,76,578,13,9,2080,63,70,600,2248,234,259,597,2257,1045,211,87,51,11001006802,2264,2264,597,597,619.9177364779944,14.4,1.0,10.6,2.6,54.5,8.0,40.8,13.0,4.7,3.7,3.4,1.7,0.4,0.6,3.1,2.7,11.5,9.9,8.3,4.6,12,2,Average,2,Average,2,Average,1,Below Average,1,Below Average,1,Below Average,1,Below Average,1,Below Average,1,Below Average,0,Well Below Average,0,Well Below Average,1.2,0.6324555320336759,Medium
6,9,2143,59,Census Tract 68.04; District of Columbia; District of Columbia,11,001,006804,2143,180,84,59,2143,424,181,59,59,115,2143,1904,124,59,2143,84,102,2143,59,110,59,89,97,2143,130,97,51,293,27,239,51,293,36,28,19,30,11001006804,2143,2143,59,59,129.25169244539896,0.3,0.4,8.4,3.9,19.8,8.4,88.8,4.8,5.8,3.9,5.1,4.8,4.5,4.2,33.1,44.0,81.6,16.9,52.8,72.5,19,0,Well Below Average,1,Below Average,0,Well Below Average,3,Above Average,1,Below Average,1,Below Average,2,Average,4,Well Above Average,4,Well Above Average,3,Above Average,2,Average,1.9,1.5238839267549948,Medium
615,209,2913,386,Census Tract 69; District of Columbia; District of Columbia,11,001,006900,2913,189,108,386,2913,1406,279,386,386,334,2913,809,119,386,2913,74,128,2913,386,243,365,36,27,2666,63,127,386,2890,108,188,386,2913,1392,177,269,120,11001006900,2913,2913,386,386,510.44294490177845,21.1,6.6,6.5,3.6,48.3,7.1,27.8,10.9,4.1,2.5,8.3,4.3,1.0,1.3,4.4,2.1,6.5,3.6,19.3,8.3,12,2,Average,1,Below Average,2,Average,1,Below Average,1,Below Average,1,Below Average,1,Below Average,1,Below Average,1,Below Average,1,Below Average,0,Well Below Average,1.2,0.42163702135578396,High
424,197,2462,448,Census Tract 70; District of Columbia; District of Columbia,11,001,007000,2462,426,132,448,2462,1207,298,448,448,326,2462,699,197,448,2462,102,123,2462,448,250,376,24,19,2221,150,264,445,2132,142,187,448,2155,1057,195,234,110,11001007000,2462,2462,448,448,554.0577587219585,17.2,7.4,17.3,4.3,49.0,8.2,28.4,12.2,8.0,3.9,10.2,4.6,0.9,1.1,12.4,6.5,8.7,6.3,22.1,9.6,17,2,Average,3,Above Average,2,Average,1,Below Average,2,Average,2,Average,1,Below Average,2,Average,1,Below Average,1,Below Average,1,Below Average,1.7,0.6749485577105528,High
556,215,3485,684,Census Tract 71; District of Columbia; District of Columbia,11,001,007100,3485,311,108,684,3485,1604,336,684,684,223,3485,2229,322,684,3485,187,151,3485,684,287,691,146,168,3379,146,503,681,3451,584,1322,684,3485,1571,174,552,186,11001007100,3485,3485,684,684,719.4338051551373,16.0,5.3,8.9,2.6,46.0,3.4,64.0,14.1,9.2,5.1,8.2,4.0,5.0,4.2,14.6,3.1,37.9,15.0,35.1,11.2,19,2,Average,1,Below Average,1,Below Average,2,Average,2,Average,1,Below Average,2,Average,3,Above Average,3,Above Average,2,Average,2,Average,1.9,0.7378647873726218,High
105,163,2850,295,Census Tract 72.01; District of Columbia; District of Columbia,11,001,007201,2850,9,15,295,2850,1201,201,295,295,266,2850,962,198,295,2850,113,98,2850,295,196,295,49,47,2850,141,113,308,2681,89,162,295,2850,2116,167,822,197,11001007201,2850,2850,295,295,397.2165656162895,3.7,5.7,0.3,0.5,42.1,5.5,33.8,8.7,6.9,3.9,6.9,3.4,1.6,1.7,4.2,5.2,5.7,3.1,38.8,8.8,11,1,Below Average,0,Well Below Average,1,Below Average,1,Below Average,2,Average,1,Below Average,1,Below Average,1,Below Average,1,Below Average,2,Average,0,Well Below Average,1.1,0.5676462121975467,Medium
92,97,5262,689,Census Tract 72.02; District of Columbia; District of Columbia,11,001,007202,5262,155,105,689,5262,2345,482,689,689,682,5262,1177,297,689,5262,169,105,5262,689,215,681,20,0,5205,209,352,707,5075,204,311,689,5262,3599,288,1366,306,11001007202,5262,5262,689,689,969.4560330412102,1.7,1.8,2.9,2.0,44.6,7.1,22.4,12.6,5.6,3.1,4.1,1.9,0.0,0.4,6.9,4.0,5.9,3.8,38.0,7.9,9,0,Well Below Average,1,Below Average,1,Below Average,1,Below Average,1,Below Average,1,Below Average,0,Well Below Average,1,Below Average,1,Below Average,2,Average,0,Well Below Average,0.9,0.5676462121975467,Medium
333,110,3305,400,Census Tract 72.03; District of Columbia; District of Columbia,11,001,007203,3305,222,103,400,3305,1810,264,400,400,330,3305,1429,173,400,3305,118,144,3305,400,246,339,68,35,3180,145,346,396,3198,205,549,400,3237,1920,205,717,208,11001007203,3305,3305,400,400,518.555686498567,10.1,3.1,6.7,3.0,54.8,4.5,43.2,8.5,5.2,3.5,7.4,4.3,1.1,2.1,10.8,4.3,17.0,6.0,37.3,10.1,14,1,Below Average,1,Below Average,2,Average,1,Below Average,1,Below Average,1,Below Average,1,Below Average,2,Average,2,Average,2,Average,1,Below Average,1.4,0.5163977794943223,High
1809,365,4592,602,Census Tract 73.01; District of Columbia; District of Columbia,11,001,007301,4592,70,47,602,4592,2002,326,602,602,571,4592,2078,1008,602,4592,460,144,4592,602,259,541,84,104,3759,160,253,475,3271,477,978,600,4260,1333,238,10,17,11001007301,4592,4592,602,602,829.7258583411752,39.4,6.0,1.5,1.0,43.6,4.2,45.3,10.9,22.0,9.6,5.6,3.0,2.8,2.2,7.7,4.8,23.0,10.7,0.8,1.3,17,4,Well Above Average,1,Below Average,1,Below Average,2,Average,3,Above Average,1,Below Average,2,Average,1,Below Average,2,Average,0,Well Below Average,1,Below Average,1.7,1.1595018087284057,Medium
902,487,4383,711,Census Tract 73.04; District of Columbia; District of Columbia,11,001,007304,4383,743,199,711,4383,2306,391,711,711,204,4383,4174,34,711,4383,38,93,4383,711,34,695,93,34,4281,301,1018,711,4195,632,1747,711,4195,2150,485,1197,505,11001007304,4383,4383,711,711,739.6870960074942,20.6,10.6,17.0,3.6,52.6,2.6,95.2,16.1,0.8,0.9,0.8,2.1,0.8,2.2,24.3,5.9,41.6,13.3,55.7,19.8,23,2,Average,3,Above Average,2,Average,3,Above Average,1,Below Average,1,Below Average,1,Below Average,4,Well Above Average,3,Above Average,3,Above Average,3,Above Average,2.3,1.0593499054713802,High
392,119,1458,302,Census Tract 74.01; District of Columbia; District of Columbia,11,001,007401,1458,293,153,302,1458,961,253,302,302,34,1458,1429,18,302,1458,24,56,1458,302,59,273,45,48,1281,105,257,303,1456,247,853,315,1398,773,199,500,203,11001007401,1458,1458,302,302,303.90788077968625,26.9,6.0,20.1,9.6,65.9,10.7,98.0,20.4,1.2,1.6,4.0,3.7,3.7,3.4,17.7,6.2,61.0,11.1,64.7,20.3,28,3,Above Average,3,Above Average,4,Well Above Average,3,Above Average,1,Below Average,1,Below Average,2,Average,3,Above Average,4,Well Above Average,4,Well Above Average,4,Well Above Average,2.8,1.1352924243950935,High
1319,512,2779,728,Census Tract 74.03; District of Columbia; District of Columbia,11,001,007403,2779,90,66,728,2779,1415,353,728,728,23,2779,2765,113,728,2779,179,138,2779,728,114,699,14,0,2572,185,398,728,2779,752,2475,728,2779,970,177,416,210,11001007403,2779,2779,728,728,728.3632335586414,47.5,13.6,3.2,2.2,50.9,18.4,99.5,26.1,4.1,6.4,4.1,4.8,0.0,0.5,14.3,5.5,89.1,13.7,42.9,20.2,21,4,Well Above Average,1,Below Average,2,Average,3,Above Average,1,Below Average,1,Below Average,0,Well Below Average,3,Above Average,4,Well Above Average,2,Average,2,Average,2.1,1.3703203194062978,Medium
1702,304,4304,648,Census Tract 74.04; District of Columbia; District of Columbia,11,001,007404,4304,93,50,648,4304,2435,465,648,648,33,4304,4281,424,648,4304,376,52,4304,648,40,679,13,7,3937,215,565,648,4304,580,1284,648,4304,1379,222,465,174,11001007404,4304,4304,648,648,648.8397336785101,39.5,3.8,2.2,1.1,56.6,6.6,99.5,15.0,9.9,8.6,0.9,1.2,0.2,0.3,13.1,4.6,29.8,12.7,33.7,11.4,21,4,Well Above Average,1,Below Average,3,Above Average,3,Above Average,2,Average,1,Below Average,1,Below Average,2,Average,2,Average,2,Average,2,Average,2.1,0.9944289260117531,High
973,452,2803,610,Census Tract 74.06; District of Columbia; District of Columbia,11,001,007406,2803,22,31,610,2803,1939,408,610,610,14,2803,2803,0,610,2803,14,14,2803,610,0,534,14,0,2579,137,286,606,2776,620,1374,610,2803,1268,204,547,205,11001007406,2803,2803,610,610,610.1606345873191,34.7,14.2,0.8,1.1,69.2,20.9,100.0,21.8,0.0,0.5,0.0,0.5,0.0,0.5,10.3,4.4,49.0,19.4,43.1,14.6,18,4,Well Above Average,0,Well Below Average,4,Well Above Average,3,Above Average,0,Well Below Average,0,Well Below Average,0,Well Below Average,2,Average,3,Above Average,2,Average,2,Average,1.8,1.6865480854231358,Medium
1195,519,3407,627,Census Tract 74.07; District of Columbia; District of Columbia,11,001,007407,3407,351,99,627,3407,1811,380,627,627,142,3407,3209,93,627,3407,117,119,3407,627,197,565,114,131,3126,238,549,621,3379,672,1645,627,3407,1499,149,479,152,11001007407,3407,3407,627,627,642.8786821788385,35.1,13.8,10.3,2.2,53.2,5.4,94.2,17.8,2.7,3.4,5.8,3.3,4.2,3.6,16.2,6.4,48.3,17.6,32.0,9.6,23,4,Well Above Average,2,Average,2,Average,3,Above Average,1,Below Average,1,Below Average,2,Average,3,Above Average,3,Above Average,2,Average,3,Above Average,2.3,0.9486832980505138,High
1915,1106,4124,1379,Census Tract 74.08; District of Columbia; District of Columbia,11,001,007408,4124,322,140,1379,4124,2513,1021,1379,1379,53,4124,4006,52,1379,4124,62,48,4124,1379,33,926,77,67,3424,393,673,1379,3940,1367,3120,1379,3940,1422,329,743,160,11001007408,4124,4124,1379,1379,1380.0181158231221,46.4,21.9,7.8,2.2,60.9,14.1,97.1,32.5,1.3,1.4,0.8,1.1,2.0,2.2,17.1,8.0,79.2,20.9,52.3,16.5,25,4,Well Above Average,1,Below Average,3,Above Average,3,Above Average,1,Below Average,1,Below Average,2,Average,3,Above Average,4,Well Above Average,3,Above Average,3,Above Average,2.5,1.1785113019775793,High
863,555,3387,722,Census Tract 74.09; District of Columbia; District of Columbia,11,001,007409,3387,493,194,722,3387,2176,582,722,722,26,3387,3371,0,722,3387,14,64,3387,722,60,588,14,0,3155,247,634,722,3387,807,2062,722,3387,1754,348,1042,345,11001007409,3387,3387,722,722,722.4679923705963,25.5,15.5,14.6,4.8,64.2,10.4,99.5,21.2,0.0,0.4,1.8,1.9,0.0,0.4,18.7,6.1,60.9,20.0,59.4,15.7,23,3,Above Average,2,Average,4,Well Above Average,3,Above Average,0,Well Below Average,1,Below Average,0,Well Below Average,3,Above Average,4,Well Above Average,3,Above Average,3,Above Average,2.3,1.4944341180973264,Medium
